Begriff;Definition;Erläuterung;Verwendungshinweis;Von;Bis
Eimer;Ein Eimer ist ein großes Gefäß mit zylindrischer oder leicht konischer Form, meist mit beweglichem Henkel über der Öffnung, seltener mit Griffen. Die Höhe ist größer als seine Breite und sein Fassungsvermögen beträgt mehrere Liter. Eimer sind typischerweise aus Holzdauben, aus Blech oder heute meist aus Kunststoff hergestellt und werden vorwiegend für das Tragen, Schöpfen und Vorhalten von Flüssigkeiten und losen Materialien genutzt.;;;;
Endretusche;;;;;
Faden (Textilie);;;;;
Fahrwerk (Landfahrzeugteil);Ein Fahrwerk ist ein Landfahrzeugteil, das zur Federung, Lenkung, Spurhaltung und Fortbewegung dient.;;Benutzt für den Bestandteil von Landfahrzeugen.;;
Fahrzeug;Ein Fahrzeug ist ein Transportmittel, das zur Beförderung von Personen, Gütern, Tieren oder zum Bewegen von Geräten genutzt wird.;;;;
Fangnetz (Fanggerät);Ein Fangnetz ist ein Fanggerät hauptsächlich aus geknüpften Schnüren oder Fäden, mit dem Tiere, etwa Wild, Fische oder Insekten, eingefangen werden können.;;;;
Fass;Ein Fass ist ein Gefäß mit bauchiger bis steiler Form, das zur Aufnahme und Aufbewahrung von Flüssigkeiten, Materialien und Nahrungsmitteln dient.;;;;
Faustkeil;;;;;
Federmesser (Steinwerkzeug);;;;;
Feile;;;;;
Fenster (Architektur);Ein Fenster ist ein Bauteil, das als Öffnung in Mauer oder Wand zur Belichtung und Belüftung der Innenräume dient und einen Ausblick oder Einblick ermöglicht.;;;;
Fensterbank;;;;;
Fenstergitter;Ein Fenstergitter ist ein Gitter, das aus Sicherheitsgründen oder als Fassadenschmuck in oder vor einer Fensteröffnung angebracht wird.;;;;
Fensterrahmen;Ein Fensterrahmen ist der Bestandteil eines Fensters, der fest mit der Mauer verbunden ist und aus Holz, Aluminium oder Kunststoff gefertigt ist.;;;;
Feuerbock (Hausrat);;Die Funktion eines Feuerbockes setzt eine Paarigkeit voraus, dies wird in der Archäologie als Unterscheidungsmerkmal zu einem singulären Mondidol verwendet.;"Benutzt für das zweiteilige Haushaltsgerät; für das einteilige Idol siehe Mondidol.";;
Feuerschaufel;Eine Feuerschaufel ist eine Schaufel, die zum Ausräumen kalter Asche aus Öfen, Kaminen oder offenen Feuerstellen dient.;;;;
Feuerschlagstein;Ein Feuerschlagstein ist ein Steinartefakt, der zur Erzeugung von Funken verwendet wird. In der Regel sind die Schlagsteine langschmal und an einer oder beiden Enden durch den Gebrauch stark verrundet oder vernarbt.;;;;
Feuerstahl;Ein Feuerstahl ist eine Gerät, das aus Eisen besteht und der Feuererzeugung dient. Feuerstahl ist Bestandteil eines Schlagfeuerzeuges.;;;;
Feuerstülpe;Eine Feuerstülpe ist eine Gerätschaft, die über die Glut von offenen Herdstellen gestülpt wird, um zu verhindern, dass das Feuer von Haustieren verschleppt wird.;;;;
Feuerzeug;;;;;
Fibel (Verschluss);Eine Fibel ist ein Schmuckstück, das dem Verschließen von Kleidungsstücken dient.;;;;
Figur (visuelles Werk);Eine Figur ist ein visuelles Werk, das den Körper eines Menschen, Tieres, Gegenstands oder einer abstrakten Form darstellt. Sie kann zweidimensional, etwa in Zeichnungen oder Gemälden, oder dreidimensional, wie als Skulptur oder Spielzeug, vorkommen.;;;;
Figürliches Gefäß;Ein figürliches Gefäß ist ein Gefäß, das die Gestalt eines Tieres, Mischwesens oder einer menschlichen Figur besitzt oder aber entsprechende figürliche Darstellungen im Relief herausgearbeitet sind.;;;;
Fingerhut (Nähzeug);Ein Fingerhut ist ein Nähzubehör, das auf dem obersten Glied des Mittelfingers als Schutz getragen wird.;;;;
Fingerring;Ein Fingerring ist ein Schmuckstück, das an einem Finger getragen wird.;;;;
Firmalampe;Eine Firmalampe ist eine römische Leuchte mit kreisrundem Lampenkörper und mehr oder weniger langgezogener Brennschnauze. Die Lampen wurden mit flüssigem Brennstoff befüllt und aus Ton hergestellt. Sie sind mit einem Bodenstempel mit Herstellernamen versehen.;;;;
Fischereigerät;Ein Fischereigerät ist ein Fanggerät, das zur Ausrüstung von Fischern gehört. Hierzu zählen etwa Angeln, Netze und Fangkammern.;;;;
Flachboden;Ein Flachboden ist ein ebener Gefäßboden, der als Standfläche dient und ohne Absatz in die Gefäßwandung übergeht.;;;;
Flasche;Eine Flasche ist ein dicht verschließbares Gefäß mit enger, oft deutlich abgesetzter Halspartie, in der Regel ohne Handhabe. Im Verhältnis zur Höhe weist die Flasche typischerweise einen geringen Durchmesser auf. Das Gefäß wird hauptsächlich zum Transport und zur Lagerung von Flüssigkeiten verwendet und besteht üblicherweise aus Glas, Keramik, Kunststoff oder Metall.;Die Flasche ist aus typologischer und herstellungstechnischer Sicht durch eine große Bandbreite an Varianten vertreten. Eine einheitliche Beschreibung der Gefäße ist durch die vielen unterschiedlichen regionalen Prägungen schwierig. Formenkundliche Ausnahmen bilden beispielsweise Flaschenformen mit Henkel und auch solche, die in ihrer Funktion für keine trinkbaren Flüssigkeiten gedacht sind.;;;
Fliese (Objekt);Eine Fliese ist ein Objekt, das in der Regel aus einer viereckigen dünnen Platte aus Keramik, Stein, Kunststoff oder Glas besteht und vorwiegend als Bodenbelag oder Wandverkleidung im Innenbereich und Außenbereich verwendet wird.;;;;
Flintenstein;;Der Flintenstein schlägt bei Betätigung des Schlosses Funken, die Schwarzpulver entzünden. Die entstandene Stichflamme zündet die Treibladung im Lauf des Gewehres und beschleunigt das Geschoss.;;;
Flöte (Musikinstrument);;;;;
Flugmotor;Ein Flugmotor ist ein Motor für den Antrieb von Luftfahrzeugen.;;;;
Flugzeug;Ein Flugzeug ist ein Luftfahrzeug mit festen Tragflächen, das schwerer ist als die verdrängte Luftmasse und durch dynamischen Auftrieb fliegt.;;;;
Formwerkzeug;Ein Formgerät ist ein Gerät, das in einem handwerklichen oder industriellen Prozess für die Formgebung und Formgestaltung benutzt wird.;Die Werkzeuge werden in der Metallindustrie, vor allem in der blechverarbeitenden Industrie (z. B. im Karosseriebau) und in der gesamten Gusstechnik, in der Kunststoffverarbeitung (z. B. beim Spritzgießen) sowie in einigen Handwerksbereichen (z. B. in der Schmiedekunst) verwendet.;;;
Foto;;;;;
Fund (Objekt);;;Benutzt für Funde, die als Quelle im Rahmen einer wissenschaftlichen Untersuchung genutzt werden können.;;
Fußboden;Ein Fußboden ist ein Bauteil, der einen Raum als begehbare Fläche nach unten hin begrenzt.;;;;
Fußbodenmosaik;;;;;
